name,year,miles,color,condition,price
Bentley Flying Spur,2008,"76,195 miles","Blue exterior, Unknown interior","No accidents reported, 3 Owners","$28,995"
BMW 2 Series,2016,"97,076 miles","Gray exterior, Red interior","1 accident reported, 2 Owners","$12,987"
BMW 2 Series,2016,"90,179 miles","Silver exterior, Black interior","No accidents reported, 3 Owners","$20,419"
BMW 2 Series,2020,"9,800 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$30,696"
BMW 2 Series,2022,"8,177 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,997"
BMW 3 Series,2014,"55,079 miles","White exterior, Black interior","No accidents reported, 2 Owners","$17,998"
BMW 3 Series,2015,"60,478 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$16,998"
BMW 3 Series,2015,"78,479 miles","White exterior, Black interior","No accidents reported, 2 Owners","$15,998"
BMW 3 Series,2017,"78,006 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$17,998"
BMW 3 Series,2016,"77,896 miles","White exterior, Beige interior","1 accident reported, 2 Owners","$14,621"
BMW 3 Series,2015,"60,478 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$16,998"
BMW 3 Series,2017,"78,006 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$17,998"
BMW 3 Series,2017,"86,333 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$15,600"
BMW 3 Series,2020,"31,684 miles","Gray exterior, Beige interior","1 accident reported, 1 Owner","$24,696"
BMW 3 Series,2018,"56,467 miles","White exterior, Black interior","1 accident reported, 2 Owners","$22,998"
BMW 3 Series,2020,"60,921 miles","Black exterior, Beige interior","No accidents reported, 1 Owner","$22,000"
BMW 3 Series,2013,"77,674 miles","Black exterior, Beige interior","2 accidents reported, 4 Owners","$12,900"
BMW 3 Series,2011,"127,089 miles","Silver exterior, Black interior","1 accident reported, 3 Owners","$7,995"
BMW 3 Series,2017,"72,071 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$17,998"
BMW 3 Series,2023,"3,271 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$45,222"
BMW 3 Series,2007,"97,688 miles","Silver exterior, Gray interior","1 accident reported, 2 Owners","$7,995"
BMW 3 Series,2020,"25,727 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$26,998"
BMW 3 Series,2020,"83,353 miles","Red exterior, Beige interior","No accidents reported, 2 Owners","$19,999"
